article_id,especie_id
2-s2.0-73949093671,1514
2-s2.0-80255140109,759
2-s2.0-49649086372,792
2-s2.0-49649086372,876
2-s2.0-49649086372,621
2-s2.0-49649086372,874
2-s2.0-40949160128,254
2-s2.0-67651093738,107
2-s2.0-33750218096,20
2-s2.0-37849010046,1597
2-s2.0-3342931347,870
2-s2.0-7444245630,1428
2-s2.0-70349138104,82
2-s2.0-66149171357,60
2-s2.0-53249122104,919
2-s2.0-53249122104,922
2-s2.0-77954127766,1999
2-s2.0-77954127766,1428
2-s2.0-64949112719,959
2-s2.0-27544478127,1440
2-s2.0-18244408001,1712
2-s2.0-0031924353,553
2-s2.0-0036120199,1542
2-s2.0-0036120199,1550
2-s2.0-0030435248,699
2-s2.0-0032401891,1707
2-s2.0-0036642460,1707
2-s2.0-0033515191,80
2-s2.0-0346312299,699
2-s2.0-49449101191,1377
2-s2.0-0031827855,1440
2-s2.0-0344991691,647
2-s2.0-0032865308,1537
2-s2.0-0034915918,168
2-s2.0-5344229374,534
2-s2.0-0025675186,1373
2-s2.0-0000235611,1104
2-s2.0-85057411663,379
2-s2.0-85057411663,2008
2-s2.0-0032416572,1714
2-s2.0-0032416572,1715
2-s2.0-0034910237,1027
2-s2.0-0001659447,959
2-s2.0-0028816025,379
2-s2.0-0028450191,1707
2-s2.0-0026122594,319
2-s2.0-0142196607,2009
2-s2.0-0031450198,699
2-s2.0-0030613680,699
2-s2.0-0036844359,167
2-s2.0-0033512742,699
2-s2.0-0031436236,1840
2-s2.0-5244237278,1393
2-s2.0-0036769833,699
2-s2.0-0032446098,1597
2-s2.0-0032812246,1597
2-s2.0-0031390774,699
2-s2.0-0030811343,25
2-s2.0-0033026684,559
2-s2.0-0034980785,516
2-s2.0-0034980785,524
2-s2.0-84946316948,691
2-s2.0-0034496762,315
2-s2.0-0037002018,563
2-s2.0-0034024444,647
2-s2.0-0026665655,2010
2-s2.0-0026665655,60
2-s2.0-0030324787,1855
2-s2.0-0036964226,870
2-s2.0-0032450223,559
2-s2.0-0025243117,1597
2-s2.0-80053112288,881
2-s2.0-0036931896,341
2-s2.0-0031839777,1707
2-s2.0-0036221404,959
2-s2.0-0033780432,863
2-s2.0-0030617632,1440
2-s2.0-0031826430,1025
2-s2.0-0032081470,563
2-s2.0-0032081470,1889
2-s2.0-0027130582,1825
2-s2.0-0036273951,124
2-s2.0-0036263192,1365
2-s2.0-84983212569,60
2-s2.0-18744391452,1597
2-s2.0-0032538086,1707
2-s2.0-0347648811,797
2-s2.0-0025661789,1597
2-s2.0-0036210348,167
2-s2.0-3242789243,959
2-s2.0-3943072492,534
2-s2.0-0033128744,876
2-s2.0-0344737018,1707
2-s2.0-0025779269,2011
2-s2.0-0025779269,559
2-s2.0-9644252593,785
2-s2.0-0000323112,664
2-s2.0-0000323112,728
2-s2.0-0031859478,1816
2-s2.0-0035585527,1274
2-s2.0-0000315214,959
2-s2.0-0020801855,834
2-s2.0-0003183732,1866
2-s2.0-84950385774,333
2-s2.0-0009808156,541
2-s2.0-0024187150,1597
2-s2.0-84951657499,200
2-s2.0-0347951990,371
2-s2.0-0016346168,100
2-s2.0-0016346168,2012
2-s2.0-84931089520,869
2-s2.0-0014353637,206
2-s2.0-17744371820,820
2-s2.0-0015021039,1206
2-s2.0-1642477855,892
2-s2.0-0242655861,516
2-s2.0-0007507243,820
2-s2.0-0022618248,1090
2-s2.0-7044271318,2013
2-s2.0-7044271318,823
