affiliation_id,nome_normalizado,sigla,endereco,affiliation_full_text
c079048c-88d3-4c53-b8db-fca3ba219e37,COLLEGE OF ENGINEERING AND TECHNOLOGY,SEM SIGLA,"American University of the Middle East, Kuwait","College of Engineering and Technology, American University of the Middle East, Kuwait"
5a5c8251-2abf-473a-8fad-12b44f2a59af,DEPARTMENT OF PHARMACOLOGY AND TOXICOLOGY,SEM SIGLA,"Faculty of Pharmacy, Zagazig University, Zagazig, 44519, Egypt","Department of Pharmacology and Toxicology, Faculty of Pharmacy, Zagazig University, Zagazig, 44519, Egypt"
dbb38d64-1473-4d02-9e1d-5d82e225a4a8,FACULTY OF SCIENCES AND LETTERS,SEM SIGLA,"São Paulo State University (UNESP), Araraquara Campus, São Paulo, 1400901, SP, Brazil","Faculty of Sciences and Letters, São Paulo State University (UNESP), Araraquara Campus, São Paulo, 1400901, SP, Brazil"
c50891a8-95eb-4a93-a283-3d1a8bee1bd3,INSTITUTE OF EDUCATION,SEM SIGLA,"Agriculture and Environment, Vale do Rio Madeira Campus Federal University of Amazonas, Humaitá, 2195, AM, Brazil","Institute of Education, Agriculture and Environment, Vale do Rio Madeira Campus Federal University of Amazonas, Humaitá, 2195, AM, Brazil"
c28572a6-4e35-4594-966a-ce3b90719ab6,INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA INPA,INPA,"Laboratório de Cultivo de Fungos Comestíveis, Amazonas, Manaus, 69067-375, Brazil","Instituto Nacional de Pesquisas da Amazônia (INPA), Laboratório de Cultivo de Fungos Comestíveis, Amazonas, Manaus, 69067-375, Brazil"
ceb93c9f-be79-4303-87f9-cb73f1b3720d,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,SEM SIGLA,"Departamento de Engenharia de Materiais, Rio Grande do Norte, Natal, 59064-741, Brazil","Universidade Federal do Rio Grande do Norte, Departamento de Engenharia de Materiais, Rio Grande do Norte, Natal, 59064-741, Brazil"
6f105382-6a2f-42d8-8ae5-6f484e2c5fe6,DEPARTAMENTO DE BIOLOGIA,SEM SIGLA,"Centro de Ciências Biológicas e da Saúde, Universidade Federal do Maranhão, MA, São Luís, 65080-805, Brazil","Departamento de Biologia, Centro de Ciências Biológicas e da Saúde, Universidade Federal do Maranhão, MA, São Luís, 65080-805, Brazil"
28bd1cfd-4098-4aeb-95a2-dc5fcce4fd80,COORDENACAO TECNOLOGIA E INOVACAO,SEM SIGLA,"Instituto Nacional de Pesquisas da Amazonia, CP 478, Manaus, 69067-375, AM, Brazil","Coordenacao Tecnologia e Inovacao, Instituto Nacional de Pesquisas da Amazonia, CP 478, Manaus, 69067-375, AM, Brazil"
7856006c-2c31-49f1-a922-98ebe7deb336,DEPARTAMENTO DE QUIMICA,SEM SIGLA,"Universidade Federal de Sao Carlos, CP 676, Sao Carlos, 13560-970, SP, Brazil","Departamento de Quimica, Universidade Federal de Sao Carlos, CP 676, Sao Carlos, 13560-970, SP, Brazil"
8b4c91e1-2624-4902-bd54-7e93cac3cc04,PPGBE,PPGBE,"Museu Paraense Emílio Goeldi, Av. Magalhães Barata, nº 376, Nazaré, Pará, Belém, 66040170, Brazil","PPGBE, Museu Paraense Emílio Goeldi, Av. Magalhães Barata, nº 376, Nazaré, Pará, Belém, 66040170, Brazil"
b3ae9d6a-fb61-4e3f-a72c-a3ae9ae92859,COORDENACAO DE BOTANICA MUSEU PARAENSE EMILIO GOELDI,SEM SIGLA,"Av. Magalhães Barata, nº 376, Nazaré, Pará, Belém, 66040170, Brazil","Coordenação de Botânica Museu Paraense Emílio Goeldi, Av. Magalhães Barata, nº 376, Nazaré, Pará, Belém, 66040170, Brazil"
e50daf60-a1d4-4aca-800d-5f216b07872f,PROGRAMA DE POS-GRADUACAO EM BIOTECNOLOGIA,SEM SIGLA,"Universidade Federal do Amazonas, Amazonas, Brazil","Programa de Pós-Graduação em Biotecnologia, Universidade Federal do Amazonas, Amazonas, Brazil"
126320a1-1609-4fe9-aafa-d3e335f0367c,PROGRAMA DE POS-GRADUACAO EM BIODIVERSIDADE E BIOTECNOLOGIA DA REDE BIONORTE,SEM SIGLA,"Universidade do Estado do Amazonas, Amazonas, Brazil","Programa de Pós-Graduação em Biodiversidade e Biotecnologia da Rede BIONORTE, Universidade do Estado do Amazonas, Amazonas, Brazil"
a1926803-88d5-47c8-ae28-0e36a1efac7b,LABORATORIO DE CULTIVO DE FUNGOS COMESTIVEIS,SEM SIGLA,"Instituto Nacional de Pesquisas da Amazônia, Amazonas, Brazil","Laboratório de Cultivo de Fungos Comestíveis, Instituto Nacional de Pesquisas da Amazônia, Amazonas, Brazil"
