article_id,authors_id
2-s2.0-85172475721,58622249900
2-s2.0-85172475721,57438852300
2-s2.0-85172475721,58622068100
2-s2.0-85172475721,6506711124
2-s2.0-85106037341,57204170523
2-s2.0-85106037341,22835269300
2-s2.0-85106037341,6602658473
2-s2.0-85106037341,7202700383
2-s2.0-85106037341,23971307600
2-s2.0-85156262842,57210274070
2-s2.0-85156262842,56061550500
2-s2.0-85156262842,6701686533
2-s2.0-85156262842,23475261500
2-s2.0-85156262842,7102318422
2-s2.0-85156262842,36025660600
2-s2.0-85156262842,58222776300
2-s2.0-85156262842,35932226000
2-s2.0-85173751983,57194491539
2-s2.0-85173751983,58284736500
2-s2.0-85173751983,23466323200
2-s2.0-85173751983,58170144700
2-s2.0-85173751983,56180863100
2-s2.0-85173751983,57222586130
2-s2.0-85179075902,57929900400
2-s2.0-85179075902,57226193586
2-s2.0-85179075902,57226780318
2-s2.0-85179075902,37560929500
2-s2.0-85179075902,57222190636
2-s2.0-85106351717,57189076341
2-s2.0-85106351717,8314825200
2-s2.0-85106351717,6701765625
2-s2.0-85106351717,56480294800
2-s2.0-85106351717,37122211300
2-s2.0-85106351717,37006277900
2-s2.0-85123542732,57194215585
2-s2.0-85123542732,37104915600
2-s2.0-85123542732,7005316356
2-s2.0-85123542732,22982307700
2-s2.0-85188731518,58955951800
2-s2.0-85188731518,58956202300
2-s2.0-85188731518,58957417400
2-s2.0-85188731518,7007175003
2-s2.0-85188731518,57209362774
2-s2.0-85188731518,7202298061
2-s2.0-85188731518,6506332624
2-s2.0-85127869936,57567898900
2-s2.0-85127869936,55375608400
2-s2.0-85127869936,55904757100
2-s2.0-85127869936,7004766599
2-s2.0-85151536783,57222586130
2-s2.0-85151536783,57194491539
2-s2.0-85151536783,56180863100
2-s2.0-85151536783,23466323200
2-s2.0-85151536783,58170144700
2-s2.0-85133506373,57783259700
2-s2.0-85133506373,57783425700
2-s2.0-85133506373,55314394300
2-s2.0-85125892630,57197807443
2-s2.0-85125892630,57201457242
2-s2.0-85125892630,57244018100
2-s2.0-85125892630,8103577900
2-s2.0-85125892630,57260951600
2-s2.0-85125892630,57217336347
2-s2.0-85125892630,35894629600
2-s2.0-85129314895,56405229500
2-s2.0-85129314895,7102338938
2-s2.0-85129314895,56027912200
2-s2.0-85129314895,55547269500
2-s2.0-85129314895,57194585690
2-s2.0-85129314895,56581414300
2-s2.0-85129314895,57190303313
2-s2.0-85129314895,57224133223
2-s2.0-85139093557,57913566800
2-s2.0-85139093557,57218893641
2-s2.0-85139093557,36133516900
2-s2.0-85139093557,25029237800
2-s2.0-85139093557,57913779400
2-s2.0-85139093557,16176841200
2-s2.0-85174273200,57221293863
2-s2.0-85174273200,57221291112
2-s2.0-85174273200,57211326911
2-s2.0-85174273200,58650343300
2-s2.0-85174273200,56096462600
2-s2.0-85174273200,57214226022
2-s2.0-85174273200,16425697200
2-s2.0-85174273200,58651712500
2-s2.0-85174273200,6506914876
2-s2.0-85163943874,57217933404
2-s2.0-85163943874,57195062392
2-s2.0-85163943874,57140120600
2-s2.0-85163943874,57222496935
2-s2.0-85163943874,7003869425
2-s2.0-85163943874,24281342200
2-s2.0-85189015272,58962490700
2-s2.0-85189015272,49361091200
2-s2.0-85189015272,57198357179
2-s2.0-85189015272,57188652278
2-s2.0-85189015272,57191473842
2-s2.0-85189015272,6508215004
2-s2.0-85189015272,7801468401
2-s2.0-85189015272,57206143965
2-s2.0-85103550502,21740494700
2-s2.0-85103550502,24390469800
2-s2.0-85127413836,55414800400
2-s2.0-85127413836,55619313852
2-s2.0-85127413836,57557816100
2-s2.0-85127413836,57558586300
2-s2.0-85127413836,35345799100
2-s2.0-85127413836,6508373918
2-s2.0-85127413836,56866304000
2-s2.0-85127413836,57217554277
2-s2.0-85127413836,56744967400
2-s2.0-85127413836,35607508300
2-s2.0-85127413836,6507398267
2-s2.0-85127413836,7005579717
2-s2.0-85127413836,57209784753
2-s2.0-85118758577,23111102500
2-s2.0-85118758577,6506717866
2-s2.0-85118758577,55199255000
2-s2.0-85146764078,58077522700
2-s2.0-85146764078,58077798900
