especie_id,nome_cientifico
499,Erythroxylum cordato-ovatum
500,Erythroxylum nelson-rosae
501,Erythroxylum timothei
502,Acalypha acuminata
503,Angostylis longifolia
504,Anomalocalyx uleanus
505,Astrococcus cornutus
506,Caryodendron amazonicum
507,Chicomendes rubiginosus
508,Conceveiba prealta
509,Croton abonari
510,Croton arirambae
511,Croton ascendens
512,Croton asperrimus
513,Croton borbensis
514,Croton campinarensis
515,Croton caryophyllus
516,Croton diasii
517,Croton dissectistipulatus
518,Croton faroensis
519,Croton gigantifolius
520,Croton paraensis
521,Croton sacaquinha
522,Croton spruceanus
523,Croton subasperrimus
524,Croton trombetensis
525,Croton viroleoides
526,Dalechampia gentryi
527,Dalechampia hastata
528,Dalechampia juruana
529,Dalechampia olympiana
530,Dendrothrix wurdackii
531,Euphorbia duckei
532,Hevea camargoana
533,Hevea camporum
534,Hevea spruceana
535,Joannesia heveoides
536,Mabea ovata
537,Mabea uleana
538,Manihot leptophylla
539,Manihot marajoara
540,Micrandra lopezii
541,Micrandropsis scleroxylon
542,Pausandra macropetala
543,Pausandra trianae
544,Sagotia heterocalyx
545,Sapium pallidum
546,Senefeldera triandra
547,Tetrorchidium duckei
548,Abarema acreana
549,Abarema campestris
550,Abarema cochleata
551,Abarema piresii
552,Albizia decandra
553,Aldina heterophylla
554,Aldina microphylla
555,Aldina occidentalis
556,Aldina polyphylla
557,Alexa bauhiniiflora
558,Alexa confusa
559,Alexa grandiflora
560,Andira macrothyrsa
561,Andira micrantha
562,Andira multistipula
563,Andira parviflora
564,Andira praecox
565,Andira unifoliolata
566,Androcalymma glabrifolium
567,Bauhinia aureopunctata
568,Bauhinia brachycalyx
569,Bauhinia grandifolia
570,Bauhinia longipedicellata
571,Bauhinia piresii
572,Calliandra jariensis
573,Campsiandra robclarkiana
574,Canavalia obidensis
575,Cassia rubriflora
576,Cenostigma tocantinum
577,Centrosema carajasense
578,Chamaecrista aiarana
579,Chamaecrista didyma
580,Chamaecrista egleri
581,Chamaecrista ipanorensis
582,Chamaecrista scleroxylon
583,Chamaecrista xinguensis
584,Clitoria cavalcantei
585,Clitoria obidensis
586,Clitoria tunuhiensis
587,Copaifera glycycarpa
588,Copaifera piresii
589,Cynometra cerebriformis
590,Cynometra duckei
591,Cynometra longifolia
592,Cynometra macrocarpa
593,Cynometra marleneae
594,Cynometra stenopetala
595,Dalbergia grandistipula
596,Dalbergia guttembergii
597,Dalbergia monophylla
598,Deguelia decorticans
599,Deguelia duckeana
600,Deguelia glaucifolia
601,Deguelia occidentalis
602,Deguelia tenuiflora
603,Dialium rondoniense
604,Dicymbe amazonica
605,Dicymbe arenicola
606,Dicymbe heteroxylon
607,Dicymbe puncticulosa
608,Dimorphandra campinarum
609,Dimorphandra caudata
610,Dimorphandra mediocris
611,Dimorphandra parviflora
612,Dimorphandra urubuensis
613,Dioclea fimbriata
614,Diplotropis rodriguesii
615,Discolobium tocantinum
616,Elizabetha bicolor
617,Elizabetha durissima
618,Elizabetha paraensis
619,Elizabetha speciosa
620,Entada simplicata
621,Eperua duckeana
622,Eperua glabriflora
623,Eperua oleifera
624,Eperua praesagata
625,Heterostemon impar
626,Hydrochorea uaupensis
627,Hymenaea jeaniana
628,Hymenaea reticulata
629,Hymenolobium excelsum
630,Hymenolobium grazielanum
631,Hymenolobium heterocarpum
632,Hymenolobium modestum
633,Hymenolobium sericeum
634,Inga bicoloriflora
635,Inga bullatorugosa
636,Inga calantha
637,Inga caudata
638,Inga chartacea
639,Inga exilis
640,Inga leptocarpa
641,Inga microcalyx
642,Inga obtusata
643,Inga panurensis
644,Inga retinocarpa
645,Inga salicifoliola
646,Inga santaremnensis
647,Inga stipularis
648,Inga suberosa
649,Inga xinguensis
650,Jacqueshuberia purpurea
651,Jacqueshuberia quinquangulata
652,Luetzelburgia amazonica
653,Machaerium aureiflorum
654,Machaerium castaneiflorum
655,Machaerium caudatum
656,Machaerium complanatum
657,Machaerium costulatum
658,Machaerium froesii
659,Machaerium hoehneanum
660,Machaerium piresii
