avaliacao_id,data_avaliacao,reavaliacao,historico_de_avaliacoes,grupo_nome,categoria_risco,nome_cientifico,grupo_taxonomico
5940,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5941,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
5942,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,CR,,
5943,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
5944,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5945,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
5946,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,NT,,
5947,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
5948,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
5949,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5950,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5951,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5952,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,NT,,
5953,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5954,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5955,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
5956,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5957,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5958,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5959,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,CR,,
5960,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5961,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,DD,,
5962,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
5963,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,DD,,
5964,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5965,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
5966,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,CR,,
5967,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5968,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5969,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5970,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5971,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5972,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5973,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,DD,,
5974,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5975,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5976,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
5977,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
5978,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
